	run	trialNum	ITIDur	gratingPosX	gratingPosY	gratingOri	gratingAng	cue	cond	block
0	1	0	4500	6.698491691664139	-2.0322915776793717	196.8775560944083	106.87755609440832	tissuebox01b.png	20	ltm
1	1	1	3500	-3.4674701029887998	-6.080842958412825	299.6930217972616	209.69302179726162	horse.png	25	ltm
2	1	2	2500	-6.188970890109569	-3.2705717117006263	332.14571491202196	242.14571491202193	key01.png	26	ltm
3	1	3	2500	4.638205014166555	-5.242809766390558	228.50147889115388	138.50147889115388	measuringtape01.png	22	ltm
4	1	4	3500	-6.936774801524072	0.9386987551609238	7.706570198689803	277.7065701986898	litterbox.png	28	ltm
5	1	5	5500	0.6707343742477719	6.967791285565496	95.49847140648373	5.498471406483728	pillbottle.png	16	ltm
6	1	6	3500	-1.5398724539289517	-6.828527866651116	282.7079627978467	192.7079627978467	pugdog.png	24	ltm
7	1	7	4500	5.863000497699648	-3.824294073940139	213.11544247636633	123.11544247636633	peppermill02b.png	21	ltm
8	1	8	5500	4.537277262980355	5.3303953923551965	130.40470736685478	40.40470736685478	dolly01.png	17	ltm
9	1	9	2500	0.20226519360008768	-6.997077160604843	268.3442064018793	178.3442064018793	bowl01.png	23	ltm
10	1	10	5500	6.0391444169477415	3.539595275063087	149.62506013668983	59.625060136689825	ram.png	18	ltm
11	1	11	4500	-1.0510526530455264	6.920642189892927	81.36435866041285	351.36435866041285	trampoline.png	31	ltm
12	1	12	5500	6.5496457713095095	2.470251054117261	159.33563316920277	69.33563316920275	seagull.png	19	ltm
13	1	13	3500	-5.4943465734189685	4.337298206390614	38.28795433748314	308.28795433748314	blueberry01.png	29	ltm
14	1	14	4500	-6.996199469114822	-0.2306360517297333	358.1118765126467	268.1118765126467	honeybee.png	27	ltm
15	1	15	2500	-4.519750602817995	5.345264678977681	49.783422031672615	319.7834220316726	car.png	30	ltm
