	run	trialNum	decrementStart	decrementStop	responseStop	contrast
0	1.0	0.0	2896.0	3396.0	4396.0	1.0
1	1.0	1.0	2430.0	2930.0	3930.0	1.0
2	1.0	2.0	1189.0	1689.0	2689.0	1.0
3	1.0	3.0	1281.0	1781.0	2781.0	1.0
